Activity Name,Description,Image URL
Department of Theatre & Dance,We invite you to learn more about our courses and our co-curricular activities! Visit rollins.edu/theatre.,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Disney Club,"A safe space for all those who love Disney / Disney owned franchises (Pixar, Marvel, and Star Wars included). We will play trivia, watch movies, and make Disney themed crafts. I’m hoping this club will connect people with similar passions and interests.",https://se-images.campuslabs.com/clink/images/ee4fe79a-6150-4860-bb26-918c6715bf27ec385be5-9f29-4b2c-b07f-59bff8207ca0.jpg?preset=small-sq
Economic Club of Rollins College,"The Economic Club of Rollins College is dedicated to creating an inclusive forum for undergraduates of all academic paths to learn about, discuss, and debate important issues in economics beyond the classroom.",https://se-images.campuslabs.com/clink/images/ded0a177-5b8f-4c71-9e0a-883248e7bd07ea33014c-cadd-4c49-afe6-dde7fab631c7.png?preset=small-sq
EcoRollins,"EcoRollins advocates environmental stewardship and awareness of our effect on the environment to the college through programming of educational, fun, and service-oriented events.",https://se-images.campuslabs.com/clink/images/9938c396-4055-4616-ba08-0b30d5322293277c18fa-4ed5-459f-b470-8f5b99f7c4f0.png?preset=small-sq
EMBARK,"A cohort-based student development opportunity for students of underrepresented backgrounds, the EMBARK program leads students through different opportunities to explore themselves and the Rollins community.",https://se-images.campuslabs.com/clink/images/e765c417-337d-410d-8346-7784cc44e7a641e6ab69-7bf0-4083-bf43-43b00f436a66.jpg?preset=small-sq
Emerging Leadership Institute,"The Emerging Leadership Institute (ELI) is a weekend-long experience aimed to facilitate the empowerment, development, and fellowship of first- and second-year emerging leaders.",https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
English Club,"For English and non-English majors to hang out, talk books, watch movies, and eat free food.",https://se-images.campuslabs.com/clink/images/4b6dcce4-c676-435c-9694-95232b8fdee718c831ee-a9fd-4525-8b89-830439a1ad4f.jpg?preset=small-sq
Every Nation Campus Ministries-Rollins,"Every Nation Campus Ministries is a church-based campus ministry for all college students with locations around the world. We are a multi-cultural, multi-ethnic group that exists to share the Word of God to anyone and everyone who is willing to listen.",https://se-images.campuslabs.com/clink/images/daf5cd45-8f15-42ce-b1d1-800dbc5889b37e24a2e6-4a2a-42b7-9ebe-420cca74db0f.png?preset=small-sq
Family Weekend,Family Weekend celebrates the Rollins and offers a wide variety of programs and activities for families to reconnect with their student and the Rollins community!,https://se-images.campuslabs.com/clink/images/11ed17f3-1d6a-43cf-8227-a68ee5eec09bc803b325-1a0d-4897-ae97-999b263effa6.jpg?preset=small-sq
FeelGood,"FeelGood is a youth-led movement turning college into a time of effective global action. On campuses globally, students run a social enterprise – a grilled cheese deli – to raise money and build public support for the end of extreme hunger and poverty.",https://se-images.campuslabs.com/clink/images/35c8b8a6-d668-4678-971f-ae1799de3dc9d9b133a4-23be-4901-96a0-a7057bbdce84.jpeg?preset=small-sq
Fellowship of Christian Athletes,"Since 1954, FCA has been challenging coaches and athletes on the professional, college, high school, junior high and youth levels to use the powerful platform of sport to reach every coach and every athlete with the transforming power of Jesus Christ.",https://se-images.campuslabs.com/clink/images/fa4f5311-a5a2-4d9e-88e3-ef81c17b20756167ef1d-bb90-4664-89c2-9f9d0af724c0.png?preset=small-sq
Film Studies Program,"The film studies program explores how film reflects and affects the social, intellectual, cultural, ethical, economic, aesthetic, and political aspects of our world.",https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
First-Generation Students at Rollins College,"To provide a space of support, encouragement, personal development, and fun among members of the Rollins Community who are or are on track to becoming First-Generation college graduates.",https://se-images.campuslabs.com/clink/images/77c66fe4-8792-41bc-b884-bb0e54e4469549aa1cec-5c08-4d76-9701-ece1820dc067.jpg?preset=small-sq
Fox Bike Club,"Provide students an opportunity to be part of the bike community and expand their skills. Create an opportunity for Rollins College to expand and develop bicycle knowledge Allow students of all experience levels to engage in fun, and healthy activity.",https://se-images.campuslabs.com/clink/images/0fcfa393-fcd6-4e4d-8d92-4ff4607f5f488a518d56-a237-4b64-a66f-561eb770d481.png?preset=small-sq
Fox Funds,Fox Funds is a Student Government committee consisting of senators and student leaders who meet on a weekly basis to hear proposals from registered student organizations seeking funding support for campus-wide events and initiatives.,https://se-images.campuslabs.com/clink/images/df2db78e-7b7e-4e3e-bab0-c3ca913973a480206bb9-d136-426c-b1d2-219fef0eaa11.jpg?preset=small-sq
Global Languages & Cultures Dept.,"The Department provides language instruction in Arabic, Chinese, French, Hebrew, and Spanish. We also provide instruction in the literatures and cultures of people around the world.",https://se-images.campuslabs.com/clink/images/b267dbc9-6183-49fa-9917-1a580e150c732accdc79-6c1e-45f9-bbf3-01fca3658d1a.jpg?preset=small-sq
Her Campus Rollins,"Her Campus is an online magazine targeted at the female college student demographic. Content in the magazine is written by more than 7,000 contributors from more than 400 campus chapters located in nine countries.",https://se-images.campuslabs.com/clink/images/60b93fbf-348c-4214-9138-a8f1a32ed24f90868a8f-71d1-4266-a1c5-31088284754a.jpeg?preset=small-sq
Holt Happenings,The Holt Student Services team creates monthly Holt Happenings each semester to help Holt students navigate their road to success and feel more connected to the Rollins College campus.,https://se-images.campuslabs.com/clink/images/3c7b9aad-75de-4449-a027-fd66a37ba03fb80c57f8-2f0c-4eca-93bb-598eda122554.png?preset=small-sq
Honors Neighborhood,The Honors Degree Program seeks to build a sense of intellectual community among some of the College’s academically strongest students.,https://se-images.campuslabs.com/clink/images/c572072d-dce7-46b0-aa23-b1d7ec8251a0a48b7050-9977-4c6e-920f-7b7a577b92cc.jpg?preset=small-sq
Immersion: Citizens Take Action,"Rollins Immersion exposes students to critical cultural, social, political and structural issues in the community through weekend and weeklong projects of civic and community engagement throughout the academic year.",https://se-images.campuslabs.com/clink/images/8f435d10-2538-444e-ba21-78850d467731b0230211-9bea-4d6f-9a33-d512af27d506.png?preset=small-sq
Interfraternity Council,The Rollins College Interfraternity Council is the governing body of all 4 social fraternities on the campus.,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
International Affairs,"Rollins’ international affairs degree is an interdisciplinary program with a liberal arts approach, which means you’ll learn about different cultures, complex political dynamics, and international economic systems.",https://se-images.campuslabs.com/clink/images/77addfb8-1ba2-48a1-ac8d-9d36f714f25374347bca-1de4-40ce-951d-b4330110b9c4.png?preset=small-sq
International Student & Scholar Services,The Office of International Student & Scholar Services (OISSS) is committed to the values and principles of international education by supporting and encouraging the enrollment of international students and engagement with international scholars.,https://se-images.campuslabs.com/clink/images/046223f6-2ff3-408a-b508-c03a947b866fbe2d6474-34cd-4fe4-99c8-8b1dbc40913b.jpg?preset=small-sq
InterVarsity Christian Fellowship,"Transform your life. Renew the campus. Change the world. InterVarsity is a Christian student organization at Rollins College. We long to see students and faculty transformed, the Rollins campus renewed, and world changers developed.",https://se-images.campuslabs.com/clink/images/df2c3597-91a3-4a1c-b7cd-ab9f567166103bcc7232-77f6-4339-b01d-edb3a97d0da2.jpg?preset=small-sq
Jam-out! Club,"The Jam-Out!, or Music Production Club is a space for our on-campus musicians, lyricists, singers, etc. to have a space to collaborate, workshop, and receive feedback on musical pieces to produce complete works independently or in tandem with WPRK.",https://se-images.campuslabs.com/clink/images/70212449-a28d-4a3e-8e60-a3406f4b7f0840494917-8b10-467f-a0fe-2fa6391dc384.png?preset=small-sq
Join Us in Making Progress,"JUMP offers you the chance to connect, engage, and give back to the central Florida community through service-learning opportunities throughout the year.",https://se-images.campuslabs.com/clink/images/fcc45c76-22d3-4b0f-b7b3-7c5656938bff6bad5037-d3f4-404c-9b2e-7b86233ac65a.png?preset=small-sq
Kappa Delta Sorority,Kappa Delta Sorority provides experiences that build confidence in women and inspire them to action through the power of lifelong friendship.,https://se-images.campuslabs.com/clink/images/2d2ec502-4645-45f2-8dde-07658f1ad48addf1b41e-5a53-43aa-b4b7-71eef358faba.jpeg?preset=small-sq
Latin American Student Association,Latin American Student Association (LASA) is a cultural organization under the Office of Multicultural Affairs that seeks to celebrate Latin culture from all over the world!You dont have to be Latin to join!,https://se-images.campuslabs.com/clink/images/26f262f4-f4ee-4318-8575-64a5cc0289d1402d3d3d-6feb-493e-a785-27ed76291f1a.png?preset=small-sq
"Lucy Cross Center for Women, Gender, and Sexuality","Founded in 2010 by dedicated staff, students, and faculty, “the Lucy” was created as a welcoming space to form community, establish networks, and promote social justice.",https://se-images.campuslabs.com/clink/images/9be4b555-e774-4600-9f8a-13e6cb0424e0e7423161-2c8a-425c-b4f1-aa82c5846836.png?preset=small-sq
Middle Eastern & North African Student Union,The Middle Eastern & North African Student Union (MENASU) is an organization dedicated to building a community for Middle Eastern & North African students at Rollins College by supporting students and celebrating culture.,https://se-images.campuslabs.com/clink/images/fc85bb47-15c2-4481-b5fa-467b65c129a9e6a9a761-3c33-4d78-9c7d-e62ce2247527.png?preset=small-sq
Muslim Student Union,Rollins MSU is a student organization that provides a welcoming community for Muslim students as well as students of other faiths. MSU supports students’ spiritual needs during their tenure at Rollins,https://se-images.campuslabs.com/clink/images/4d155b5c-251a-4044-b9b6-94a6d2e5dd571b7befef-e8f4-46bc-8aac-131f40e701f3.jpg?preset=small-sq
Non Compis Mentis,"Established in 1970, Non Compis Mentis continues to provide its Sisters with an unconditional family environment that promotes individuality, service, intellect, and leadership through positively impacting Rollins and the surrounding communities.",https://se-images.campuslabs.com/clink/images/ce645a56-c59a-4538-9ca4-ff199fadfc73a4dbaf53-e728-43cc-a6c8-f9fdbdfba7fd.png?preset=small-sq
Office of Accessibility Services,"It is the mission of the Accessibility Services Team at Rollins College to address barriers to learning, facilitate accessible learning environments, and champion equal access for the entire campus community.",https://se-images.campuslabs.com/clink/images/a4e594dc-0987-4397-8a40-98bcc51f532a9b8e61d7-5d4d-440e-a2aa-1ad617c24301.jpg?preset=small-sq
Office of Advising,"Academic Advising at Rollins College is an intentional, collaborative relationship facilitated by our outstanding faculty. We believe the faculty-student advising relationship is essential to students’ ability to reach their goals.",https://se-images.campuslabs.com/clink/images/05178037-7ee0-4f8a-82b1-9efbc8bbf07ddf1b0c11-5728-4342-9f6b-e28722d138c9.jpg?preset=small-sq
Office of Fraternity and Sorority Life,"11 Chapters. It's not four years, it's for life.",https://se-images.campuslabs.com/clink/images/efd69944-9708-4e75-94ac-967b1457af246d5ead34-5744-408b-8c44-56d8136ddeea.png?preset=small-sq
Office of International Programs,"OIP creates and administers a range of off-campus programs, makes these and other suitable programs known to Rollins A&S students, and provides academic and general support for the students who participate.",https://se-images.campuslabs.com/clink/images/1dde8ba0-fc91-48c3-9ded-bcd38a88f2492d4b6d5f-d033-4efd-b4fa-6e34e79807f8.jpg?preset=small-sq
Office of Residential Life and Explorations,"In support of the college mission, the Office of Residential Life is committed to creating learning environments that are conducive to and focused on holistic student development, student learning, and student success.",https://se-images.campuslabs.com/clink/images/e568bd3d-53d5-4578-8edc-d026dd2902ff8aeb03ef-15f2-41fc-8063-e5ba0c2b89ca.JPG?preset=small-sq
Office of Title IX,"The Title IX and Violence Prevention offices lead Rollins’ efforts to educate, raise awareness, prevent, and respond to sex and gender-based discrimination, sexual harassment, sexual assault, relationship abuse, and stalking.",https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Olin Library,"Olin Library provides exceptional services, information resources, and a welcoming environment for the Rollins community.",https://se-images.campuslabs.com/clink/images/c09d43ad-66e4-4c07-b826-83af8898465a6e248fc5-b3a4-4854-873c-22380c5a878e.png?preset=small-sq
Omicron Delta Epsilon,"Omicron Delta Epsilon (ODE) is one of the world's largest academic honor societies recognizing achievements in economics. Opportunities in ODE range from inviting speakers, working on special projects, and entering into research award competition.",https://se-images.campuslabs.com/clink/images/6318f911-9e87-4fa8-a316-47dec9c200872b89e08e-305d-4863-a0ae-6da5cdd69a20.jpg?preset=small-sq
Omicron Delta Kappa,National Leadership Honor Society,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Panhellenic Association,"The governing body of all sororities on campus. Working to unify, support, and improve life at Rollins for sorority women as a whole.",https://se-images.campuslabs.com/clink/images/7ed6eecd-3d59-444a-a804-c7e5a5b669689a3f5a1e-7909-4a41-996e-170771f5be92.png?preset=small-sq
Phi Mu Alpha Sinfonia,"We are the Sigma Eta chapter of Phi Mu Alpha Sinfonia, the nations oldest secret musical fraternity! We aim to use our love of music as an opportunity to give back to the community, as well as promote brotherhood among musical students.",https://se-images.campuslabs.com/clink/images/fba5eae3-e9e4-47ab-b3e1-be5fcda924fc89d827c7-b7ba-4d46-87de-1580db487fc0.png?preset=small-sq
Philosophy and Religion Club,"Do souls exist? Does life have meaning? What is truth? The Philosophy and Religion Club is a forum for thought provoking discussion across all disciplines. All Rollins students, faculty, and staff are welcome.",https://se-images.campuslabs.com/clink/images/fe01ba4a-ad12-4311-bf25-69dfef13e6cde3dfeb24-6a48-4048-a55e-65c2d3a343c1.png?preset=small-sq
Pinehurst,"The Pinehurst organization is dedicated to the following values: global citizenship, diversity, social justice, community service, educational outreach, and fostering individualized passions within our members.",https://se-images.campuslabs.com/clink/images/251d4a54-583e-45eb-8c79-1d08798b6fcdd3756bb5-44ab-47dd-ab0e-9fa3bb678517.JPG?preset=small-sq
Pokemon Fan Club,"Join the Pokémon Fan Club to have fun playing and talking about Pokémon! Whether you're a new Pokémon player or a hardcore longtime enjoyer, you're sure to find fun, friends, and Pokémon here in the Pokémon Fan Club.",https://se-images.campuslabs.com/clink/images/0fd871a6-cf8e-40e1-bb6f-665b059fd892919402b5-4298-4264-911f-87671f7b45ac.png?preset=small-sq
PRISM,LGBTQ+ Resource Group,https://se-images.campuslabs.com/clink/images/89621ff3-c9c6-4f2c-8d41-ca0a882e60f362bd05a8-b595-48d9-81b8-20ab040519f5.jpg?preset=small-sq
Project Bridge,Bridging the language barrier one day at a time. No foreign language experience necessary.,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Rec Sports,Rec Sports,https://se-images.campuslabs.com/clink/images/1d17cacb-db0c-47f9-a961-2c4546d7afd45cd008ec-c1cb-4bab-9a29-02c7770da4da.png?preset=small-sq
Reconnect Rollins,"Reconnect Rollins strives to explore an alternative lifestyle of spending time away from devices to be together with others, with awareness of social media’s effects on us as individuals, communities, along with its effects on the whole world.",https://se-images.campuslabs.com/clink/images/62da74d2-e9e3-4ad0-9dc9-bc87b28833e50c9262c3-2731-4f9d-8648-643032b16021.jpg?preset=small-sq
Religious and Spiritual Life,"The mission of Religious and Spiritual Life is to enhance and value the spiritual life of students, faculty, and staff at Rollins College across a wide spectrum of faiths, spiritual traditions, and expressions.",https://se-images.campuslabs.com/clink/images/d846758a-7983-47dd-8183-055b46ad7ce9068f3176-5086-4872-9787-acf54176be68.jpg?preset=small-sq
Rollins Association of Computing Machinery,"The Rollins Student Chapter of the Association of Computing Machinery provides educational CS experiences outside the classroom. Meeting attendees gain exposure to technical workshops, guest speakers, and valuable preparation for technology careers.",https://se-images.campuslabs.com/clink/images/708b6340-1dcb-466d-a8ce-8f44040c1310f9be0522-82a4-491c-9a8b-b4709f293144.png?preset=small-sq
Rollins Bowling Club,Rollins Bowling Club is open to any student or faculty member at Rollins regardless of skills level. We will meet at an alley to compete with/against one another and have some fun competitive games. We will be growing as a group through winning and fun.,https://se-images.campuslabs.com/clink/images/067ab634-0e36-4937-adc4-37db16947859f7f26f71-d3c6-4919-aca5-1d8261ec178b.png?preset=small-sq
Rollins Chess Society,"The chess society of Rollins College, open to people of all skill levels who would like to engage with the Rollins Community through chess.",https://se-images.campuslabs.com/clink/images/cfda5831-e7e9-4556-a5c8-fc749a8b85941b909b1e-e927-40aa-a703-806d33b84e5d.jpeg?preset=small-sq
Rollins Club Soccer,"Rollins Club Soccer is open for all students! Although we enjoy our weekly causal pick-up, we are a competitive organization that loves to play our hardest every time we step onto the pitch When: Tuesdays and Thursdays @8pm-9:30pm",https://se-images.campuslabs.com/clink/images/b21955f8-6dac-4598-95b1-b522ebf1ac5da34d9f7e-5db8-4270-9af5-ac5a4d8a62f4.jpeg?preset=small-sq
Rollins Club Tennis,Rollins Club Tennis is an organization focused on providing opportunities to play tennis both competitively and among friends.,https://se-images.campuslabs.com/clink/images/fe4f02a3-7c4c-4679-8d08-32b3f8f9ae733d16816a-9890-44a3-bda5-684d1e673476.png?preset=small-sq
Rollins College Asian American Pacific Islander Student Union,"To increase AAPI representation, appreciation, and awareness around Rollins College.",https://se-images.campuslabs.com/clink/images/870d22b9-5a81-4ae9-995f-be4fb19dcbdba76db37b-cec4-40b3-84ab-bc602c19070b.png?preset=small-sq
"Rollins College Chapter of Psi Chi, the International Honor Society in Psychology","The goal of Psi Chi is to encourage, stimulate, and maintain excellence in scholarship of the individual members in all fields, particularly in psychology, and to advance the science of psychology.",https://se-images.campuslabs.com/clink/images/9dd1571d-ef03-44fd-a304-1be9db84fe4b833562a8-ebd7-4d1e-b9d6-0f6ff400a4d0.jpg?preset=small-sq
Rollins College Democrats,"Rollins College on-campus representation of the Democratic Party. This group participates in campaigning, debates, and other events throughout the year.",https://se-images.campuslabs.com/clink/images/1aa96c61-71db-4f3c-bba0-0902e73ba33a0bd92207-3487-4955-a56b-b73c51d14589.jpg?preset=small-sq
